Time	 NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std    	Param2      Std    	Param3      Std    	Param4      Std    	Param5      Std    	Param6      Std    	Param7      Std    	Param8      Std    	Param9      Std    	Param10      Std    	Param11      Std    	Param12      Std    	Param13      Std    	Param14      Std    	Param15      Std    	
0  0.7809  0.7153  1.762  0.2836  0.08283  0.3127  2.961  0.5213  1.288  0.3565  -20840  7.7263e+05 	1.6447e+05  6.4672e+05 	3.0019e+07  6.723e+05 	1.6856e+05  5.2415e+05 	-32375  7.729e+05 	2.9858e+07  6.2728e+05 	-1.7904e+05  6.636e+05 	25410  6.9924e+05 	2.9978e+07  5.2002e+05 	-2.2632e+05  5.3862e+05 	-89973  4.636e+05 	3.0164e+07  6.6744e+05 	1.289e+05  6.1549e+05 	-45959  5.1095e+05 	2.9944e+07  5.8584e+05 	
1   0.7809  0.7153  1.762  0.2836  0.08283  0.3127  2.961  0.5213  1.288  0.3565 -9.3896e+06  7.5751e+05 	9.708e+06  6.3457e+05 	3.7535e+07  6.6148e+05 	1.1997e+06  5.2129e+05 	6.4537e+06  7.6889e+05 	3.9321e+07  6.2324e+05 	4.8711e+06  6.6103e+05 	5.8884e+06  6.9242e+05 	4.43e+07  4.8078e+05 	9.3972e+05  5.4053e+05 	-3.2108e+06  4.6084e+05 	2.4562e+07  6.6408e+05 	-3.022e+05  6.1489e+05 	-36345  5.1218e+05 	3.2177e+07  5.8226e+05 
2   0.7  0.6759  1.673  0.2587  0.09935  0.3155  2.637  0.5862  1.299  0.3789 -1.1834e+07  7.4155e+05 	1.8055e+07  6.2452e+05 	4.9016e+07  6.4331e+05 	9.1356e+06  5.0391e+05 	1.1426e+07  7.6825e+05 	6.4691e+07  5.6825e+05 	8.2109e+06  6.625e+05 	2.9899e+06  6.8959e+05 	5.0411e+07  4.7071e+05 	2.0127e+06  5.4139e+05 	-9.9189e+06  4.5314e+05 	1.5215e+07  6.5552e+05 	5.3329e+06  6.1228e+05 	1.7404e+06  5.1829e+05 	3.0177e+07  5.7919e+05 
3   0.5818  0.6202  1.572  0.2109  0.09828  0.2978  2.548  0.4009  1.235  0.4108 -1.0173e+07  7.2348e+05 	2.1586e+07  6.2133e+05 	5.064e+07  7.3781e+05 	1.4027e+07  5.1349e+05 	1.4271e+07  7.7207e+05 	7.4293e+07  6.2298e+05 	1.0211e+07  6.6668e+05 	1.5206e+06  6.9772e+05 	5.4147e+07  4.8124e+05 	8.8724e+05  5.2797e+05 	-1.1581e+07  4.5631e+05 	1.223e+07  6.5881e+05 	6.7815e+06  6.2081e+05 	2.2523e+06  5.2766e+05 	2.9809e+07  5.949e+05 
4   0.5682  0.5598  1.55  0.2369  0.1045  0.2625  2.336  0.4515  1.22  0.4082 -6.676e+06  7.093e+05 	2.5503e+07  6.1779e+05 	6.1017e+07  7.7213e+05 	1.8766e+07  5.0404e+05 	1.6648e+07  7.7719e+05 	7.9645e+07  5.9949e+05 	1.2986e+07  6.6901e+05 	-22016  6.9871e+05 	5.4265e+07  4.8767e+05 	-1.069e+06  5.1921e+05 	-1.1992e+07  4.5851e+05 	7.8746e+06  6.4732e+05 	7.8175e+06  6.2456e+05 	-87719  5.3008e+05 	2.9158e+07  6.0798e+05 
5   0.5938  0.5343  1.589  0.2498  0.1039  0.2863  2.183  0.4403  1.158  0.4326 -3.4325e+06  7.1156e+05 	2.8247e+07  6.1503e+05 	6.0412e+07  6.5887e+05 	2.6073e+07  5.0004e+05 	2.057e+07  7.8375e+05 	9.289e+07  5.4308e+05 	1.6263e+07  6.7272e+05 	-2.5854e+06  6.9609e+05 	5.8106e+07  4.7146e+05 	-2.0963e+06  5.1807e+05 	-1.4397e+07  4.5474e+05 	6.5266e+06  6.4036e+05 	1.0344e+07  6.2164e+05 	9.6857e+05  5.2613e+05 	2.6375e+07  6.1866e+05 
6   0.5506  0.5209  1.541  0.2266  0.09683  0.2992  2.192  0.3243  1.08  0.4444 -3.0648e+06  6.9254e+05 	3.5171e+07  6.106e+05 	7.448e+07  5.3968e+05 	3.0627e+07  4.7218e+05 	2.3621e+07  7.7961e+05 	1.0204e+08  4.8172e+05 	1.8624e+07  6.7048e+05 	-4.1584e+06  6.8677e+05 	6.0303e+07  4.5237e+05 	-2.62e+06  5.1647e+05 	-1.6102e+07  4.4764e+05 	-9.7545e+05  6.4208e+05 	1.2101e+07  6.1109e+05 	-3.3521e+05  5.1152e+05 	2.7419e+07  6.0287e+05 	
7   0.4413  0.4827  1.403  0.2035  0.1175  0.2782  2  0.282  1.086  0.4494 -5.5051e+06  6.795e+05 	3.8472e+07  6.113e+05 	6.5888e+07  6.5292e+05 	2.9282e+07  4.6243e+05 	2.1169e+07  7.806e+05 	1.0264e+08  4.7005e+05 	1.5764e+07  6.7042e+05 	-2.1258e+06  6.8398e+05 	6.6776e+07  4.4924e+05 	-5.0186e+06  5.1687e+05 	-1.4714e+07  4.4774e+05 	-6.9127e+05  99749 	9.7569e+06  6.109e+05 	2.4464e+06  5.2081e+05 	3.7084e+07  5.8762e+05 	
8   0.4891  0.4498  1.47  0.2392  0.1296  0.2578  1.918  0.3599  1.119  0.4356 -5.0523e+06  6.7636e+05 	4.0648e+07  6.1185e+05 	6.5599e+07  4.2555e+05 	3.3912e+07  4.413e+05 	2.3221e+07  7.6443e+05 	1.1092e+08  4.6092e+05 	1.7289e+07  6.5352e+05 	-3.6263e+06  6.8233e+05 	7.023e+07  4.3553e+05 	-5.1762e+06  5.171e+05 	-1.7725e+07  4.4721e+05 	8578  2830.4 	1.1889e+07  6.0728e+05 	1.7278e+06  4.9875e+05 	3.7057e+07  5.6308e+05 	
9   0.4713  0.4733  1.45  0.2041  0.109  0.275  1.984  0.2418  1.071  0.4514 -5.1523e+06  6.7555e+05 	4.3443e+07  6.0952e+05 	6.0953e+07  4.6025e+05 	3.6017e+07  4.3977e+05 	2.1653e+07  7.6652e+05 	1.1962e+08  4.5841e+05 	1.5845e+07  6.554e+05 	-5.1313e+06  6.8292e+05 	7.3462e+07  4.3666e+05 	-5.9861e+06  5.1818e+05 	-1.8825e+07  4.417e+05 	-4084.8  2824.9 	1.3115e+07  6.0622e+05 	4.6845e+06  5.0033e+05 	4.0629e+07  5.7307e+05 	
10   0.4225  0.4408  1.391  0.2127  0.1288  0.2516  1.817  0.3015  1.088  0.4417 -4.7869e+06  6.7599e+05 	4.593e+07  6.0557e+05 	4.8839e+07  5.8019e+05 	3.7971e+07  4.4084e+05 	2.1389e+07  7.7284e+05 	1.2748e+08  5.279e+05 	1.448e+07  6.5982e+05 	-5.937e+06  6.8626e+05 	7.9322e+07  4.3288e+05 	-7.8229e+06  5.1746e+05 	-1.9368e+07  4.4335e+05 	-12012  2975.8 	1.3132e+07  6.0939e+05 	8.9371e+06  5.101e+05 	4.51e+07  5.7095e+05 	
11   0.4589  0.4355  1.433  0.2308  0.1243  0.241  1.932  0.2652  1.069  0.4349 -6.4827e+06  6.7863e+05 	4.5146e+07  6.0591e+05 	4.4083e+07  9.4527e+05 	3.9888e+07  4.4318e+05 	2.2402e+07  7.8591e+05 	1.3294e+08  6.8973e+05 	1.4498e+07  6.7671e+05 	-5.7145e+06  6.9308e+05 	8.3288e+07  4.5433e+05 	-7.3282e+06  5.2456e+05 	-2.2015e+07  4.4635e+05 	2071.7  3017.7 	1.4037e+07  6.1681e+05 	9.0314e+06  5.4965e+05 	4.5706e+07  6.1308e+05 	
