Time	 NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std    	Param2      Std    	Param3      Std    	Param4      Std    	Param5      Std    	Param6      Std    	Param7      Std    	Param8      Std    	Param9      Std    	Param10      Std    	Param11      Std    	Param12      Std    	Param13      Std    	Param14      Std    	Param15      Std    	
0 0.7809  0.7155  1.762  0.2837  0.08288  0.3127  2.963  0.5208  1.288  0.3566 -1.6772e+05  6.3906e+05 	53561  5.9611e+05 	3.0014e+07  5.3445e+05 	0  0 	0  0 	0  0 	-2.1324e+05  4.8835e+05 	-22350  5.5301e+05 	2.9955e+07  5.6757e+05 	1.6671e+05  6.2564e+05 	1.0668e+05  7.3057e+05 	3.0163e+07  6.016e+05 	83449  6.0557e+05 	-50277  6.1731e+05 	3.0004e+07  5.9516e+05 	
1   0.7809  0.7155  1.762  0.2837  0.08288  0.3127  2.963  0.5208  1.288  0.3566 7.1019e+06  6.292e+05 	4.2758e+06  5.9335e+05 	5.1947e+07  4.6505e+05 	0  0 	0  0 	0  0 	6.822e+06  4.786e+05 	1.5373e+07  5.1198e+05 	5.3681e+07  4.6834e+05 	-3.4651e+06  6.2282e+05 	2.0382e+06  7.3041e+05 	3.8929e+07  5.9241e+05 	1.3507e+07  5.7327e+05 	6.2501e+06  6.1349e+05 	2.6538e+07  5.9291e+05 	
2   0.5948  0.6366  1.568  0.2197  0.1172  0.3159  2.434  0.5191  1.294  0.4059 1.1729e+07  6.2249e+05 	8.8892e+06  5.9041e+05 	7.2995e+07  3.9936e+05 	0  0 	0  0 	0  0 	8.7146e+06  4.7452e+05 	2.3167e+07  4.991e+05 	6.2067e+07  4.506e+05 	-2.6792e+06  6.2098e+05 	4.7627e+06  7.2697e+05 	4.556e+07  5.8753e+05 	2.2416e+07  5.5499e+05 	1.1901e+07  6.1017e+05 	2.6434e+07  5.8426e+05 
3   0.5185  0.579  1.496  0.1863  0.08893  0.2733  2.582  0.2977  1.161  0.4342 1.1344e+07  6.0836e+05 	9.9291e+06  5.9324e+05 	7.4149e+07  6.1631e+05 	0  0 	0  0 	0  0 	8.5284e+06  4.7217e+05 	2.1699e+07  4.9158e+05 	5.9671e+07  4.5397e+05 	-6.2008e+05  6.2402e+05 	6.0126e+06  7.3529e+05 	4.5765e+07  6.0386e+05 	2.1228e+07  5.1217e+05 	1.3033e+07  6.3049e+05 	3.1124e+07  5.7512e+05
4   0.4934  0.5019  1.457  0.2518  0.1515  0.2552  1.896  0.514  1.217  0.4183 1.2122e+07  6.0822e+05 	1.4402e+07  5.8993e+05 	1.0123e+08  3.6136e+05 	0  0 	0  0 	0  0 	1.3789e+07  4.5924e+05 	2.5899e+07  4.8557e+05 	6.531e+07  4.5207e+05 	4.6946e+06  6.1994e+05 	1.4927e+07  7.18e+05 	5.3335e+07  5.8017e+05 	2.3364e+07  5.1146e+05 	2.214e+07  6.0689e+05 	3.7442e+07  5.7064e+05 
5   0.559  0.5119  1.554  0.2081  0.0658  0.2988  2.574  0.2835  1.007  0.4819 1.4363e+07  6.0807e+05 	1.6206e+07  5.9855e+05 	1.0859e+08  4.8085e+05 	0  0 	0  0 	0  0 	1.4611e+07  4.7621e+05 	2.7462e+07  5.0728e+05 	6.7107e+07  5.8453e+05 	5.8323e+06  6.4197e+05 	1.7253e+07  7.2499e+05 	5.398e+07  5.8e+05 	2.4703e+07  5.1698e+05 	2.4681e+07  6.1306e+05 	3.9964e+07  5.9252e+05 	
6   0.3574  0.4473  1.281  0.1776  0.12  0.2593  2.053  0.3524  0.9867  0.46 1.5128e+07  6.0925e+05 	1.6784e+07  5.9107e+05 	1.0883e+08  3.721e+05 	0  0 	0  0 	0  0 	1.4594e+07  4.7043e+05 	2.7825e+07  4.9666e+05 	6.7213e+07  5.2336e+05 	6.9948e+06  6.2734e+05 	1.7424e+07  7.1934e+05 	5.4135e+07  5.8273e+05 	2.567e+07  5.1343e+05 	2.4773e+07  6.0498e+05 	4.4227e+07  5.7053e+05 	
7   0.3677  0.4143  1.3  0.2248  0.1476  0.2403  1.852  0.3521  1.028  0.4505 1.6843e+07  6.0875e+05 	1.9838e+07  5.9449e+05 	1.1513e+08  3.6131e+05 	0  0 	0  0 	0  0 	1.1407e+07  4.8817e+05 	2.4284e+07  5.1243e+05 	5.9068e+07  6.0001e+05 	1.1681e+07  6.4215e+05 	1.9258e+07  7.1667e+05 	5.2891e+07  5.8381e+05 	2.5351e+07  5.1056e+05 	2.7072e+07  6.0338e+05 	5.1224e+07  5.8992e+05 
8   0.385  0.4246  1.308  0.2164  0.1325  0.2405  2.003  0.2792  0.938  0.4759 1.7998e+07  6.1057e+05 	1.8183e+07  6.0081e+05 	1.0961e+08  3.6927e+05 	0  0 	0  0 	0  0 	1.4654e+07  5.4038e+05 	2.8279e+07  5.5063e+05 	6.8974e+07  7.6311e+05 	7.9318e+06  6.6969e+05 	1.7437e+07  7.1463e+05 	5.2133e+07  6.0102e+05 	2.6405e+07  5.087e+05 	2.6447e+07  6.0283e+05 	5.1684e+07  6.5979e+05 
9   0.2914  0.4259  1.158  0.2019  0.1337  0.2025  1.478  0.3569  1.026  0.449 1.9685e+07  6.0688e+05 	1.6585e+07  5.9856e+05 	1.0461e+08  3.2125e+05 	0  0 	0  0 	0  0 	1.7577e+07  5.3321e+05 	3.2677e+07  5.1361e+05 	7.922e+07  6.48e+05 	3.3361e+06  6.4287e+05 	1.5372e+07  7.1787e+05 	5.1308e+07  6.2111e+05 	2.5909e+07  5.038e+05 	2.5346e+07  6.0133e+05 	5.1298e+07  6.7232e+05 	
