Time     NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std        Param2      Std         Param3      Std         Param4      Std         Param5      Std         Param6      Std         Param7      Std         Param8      Std         Param9      Std         Param10      Std        Param11      Std        Param12      Std        Param13      Std        Param14      Std        Param15      Std
12000.0   0.3095  0.544  1.053  1.794  1.882  1.934  5.95  1.397  2.98  0.3286 -1.7199e+07  789.32      -4.3759e+06  388.97     3.6824e+07  350.31      1.7821e+07  1540        -5.2469e+05  357.73     2.4879e+07  102.87      -5.7256e+06  1995.9     95387  263.82   3.6914e+07  343.66      -2.4064e+07  3864.2     5.1024e+06  324.45      3.3521e+07  843.32      0  0    0  0    0  0
12800.0   0.343  0.5452  0.9742  1.738  1.833  1.907  5.672  1.453  2.918  0.1929 -1.7192e+07  639.81   -4.3814e+06  349.53     3.6827e+07  246.3       1.783e+07  1063.2       -5.2007e+05  305.67     2.4878e+07  88.8        -5.7163e+06  1399       92886  202.51   3.6916e+07  229.48      -2.4057e+07  2505.4     5.0996e+06  247.81      3.3519e+07  565.36      0  0    0  0    0  0
13600.0   0.3257  0.5623  1.078  1.814  1.914  1.984  6.208  1.373  3.032  0.3066 -1.7195e+07  338.21   -4.3819e+06  236        3.6829e+07  146.8       1.7838e+07  542.74      -5.1934e+05  173.34     2.4878e+07  56.506      -5.7274e+06  810.84     92922  127.96   3.6918e+07  132.01      -2.4031e+07  1331.3     5.0983e+06  130.92      3.3525e+07  318.34      0  0    0  0    0  0
14400.0   0.2973  0.5401  1.107  1.811  1.904  1.962  5.805  1.389  2.967  0.2795 -1.7195e+07  250.93   -4.3801e+06  159.78     3.6827e+07  91.615      1.7835e+07  342.99      -5.2076e+05  106.55     2.4879e+07  44.791      -5.73e+06  619.35       94028  90.569   3.6917e+07  87.252      -2.4036e+07  902.06     5.0992e+06  75.381      3.3525e+07  245.6       0  0    0  0    0  0
15200.0   0.4095  0.5408  0.7761  1.752  1.895  2.023  5.522  1.356  2.886  0.2615 -1.7197e+07  166.78  -4.3804e+06  118.49     3.6827e+07  71.313      1.7835e+07  228.69      -5.2077e+05  76.823     2.4879e+07  33.282      -5.7308e+06  448.57     94124  60.451   3.6918e+07  65.051      -2.4036e+07  644.29     5.0994e+06  49.114      3.3525e+07  181.66      0  0    0  0    0  0
16000.0   0.4789  0.5167  0.6895  1.799  1.93  2.038  5.76  1.301  2.921  0.2549 -1.7197e+07  93.889    -4.3802e+06  55.025     3.6827e+07  57.425      1.7835e+07  166.79      -5.2106e+05  41.701     2.4879e+07  22.909      -5.7327e+06  273.7      94387  30.292   3.6917e+07  45.931      -2.4034e+07  480.82     5.0995e+06  33.635      3.3525e+07  112.19      0  0    0  0    0  0
16800.0   0.4203  0.4993  0.7997  1.817  1.929  1.999  5.795  1.357  2.932  0.1949 -1.7198e+07  76.039  -4.3802e+06  40.634     3.6827e+07  56.259      1.7834e+07  110.95      -5.2115e+05  28.614     2.4879e+07  26.093      -5.7338e+06  251.87     94523  26.388   3.6917e+07  32.466      -2.4033e+07  388.66     5.0996e+06  21.071      3.3525e+07  91.077      0  0    0  0    0  0
17600.0   0.4364  0.5393  0.7712  1.781  1.902  1.99  5.754  1.448  2.907  0.2257 -1.7198e+07  73.703   -4.3804e+06  29.012     3.6828e+07  36.508      1.7835e+07  75.674      -5.2099e+05  20.223     2.4879e+07  15.6        -5.7346e+06  186.39     94553  22.663   3.6917e+07  15.84       -2.4031e+07  244.44     5.0994e+06  14.486      3.3525e+07  74.64       0  0    0  0    0  0
18400.0   0.4666  0.5559  0.7258  1.797  1.907  1.993  5.788  1.506  3.016  0.1991 -1.7198e+07  37.404  -4.3804e+06  14.978     3.6828e+07  34.6        1.7835e+07  56.248      -5.2096e+05  8.9111     2.4879e+07  0   -5.7341e+06  117.94     94501  12.366   3.6917e+07  11.561      -2.4032e+07  178.48     5.0994e+06  7.7616      3.3525e+07  47.208      0  0    0  0    0  0
19200.0   0.3329  0.5618  1.046  1.792  1.845  1.849  5.991  1.401  3.002  0.2601 -1.7198e+07  24.232   -4.3804e+06  7.6197     3.6828e+07  22.03       1.7835e+07  34.314      -5.2094e+05  5.2103     2.4879e+07  0   -5.7339e+06  47.491     94481  5.5105   3.6917e+07  10.542      -2.4032e+07  91.7       5.0994e+06  4.4686      3.3525e+07  25.515      0  0    0  0    0  0
